"random MD","BRS:RL","HH:HS","HSD:plasma_lyte_A","HSD:RL","HS:NS","HS:RL","NS:Plasma","NS:RL"
"Mixed estimates",,,,,,,,
"BRS:RL",100,0,0,0,0,0,0,0
"HH:HS",0,100,0,0,0,0,0,0
"HS:NS",0,0,0,0,80.23,9.885,0,9.885
"HS:RL",0,0,0,0,20.12,59.76,0,20.12
"HSD:RL",0,0,0,100,0,0,0,0
"HSD:plasma_lyte_A",0,0,100,0,0,0,0,0
"NS:Plasma",0,0,0,0,0,0,100,0
"NS:RL",0,0,0,0,19.995,19.995,0,60.01
"Indirect estimates",,,,,,,,
"BRS:HH",29.98,29.98,0,0,10.06,19.92,0,10.06
"BRS:HS",43.2933,0,0,0,13.4133,29.88,0,13.4133
"BRS:HSD",50,0,0,50,0,0,0,0
"BRS:NS",43.335,0,0,0,13.33,13.33,0,30.005
"BRS:Plasma",30.0008,0,0,0,9.9975,9.9975,30.0008,20.0033
"BRS:plasma_lyte_A",33.3333,0,33.3333,33.3333,0,0,0,0
"HH:HSD",0,29.98,0,29.98,10.06,19.92,0,10.06
"HH:NS",0,46.705,0,0,40.115,6.59,0,6.59
"HH:Plasma",0,31.6858,0,0,26.7433,4.9425,31.6858,4.9425
"HH:RL",0,43.2933,0,0,13.4133,29.88,0,13.4133
"HH:plasma_lyte_A",0,22.988,22.988,22.988,8.048,14.94,0,8.048
"HS:HSD",0,0,0,43.2933,13.4133,29.88,0,13.4133
"HS:Plasma",0,0,0,0,40.115,6.59,46.705,6.59
"HS:plasma_lyte_A",0,0,29.98,29.98,10.06,19.92,0,10.06
"HSD:NS",0,0,0,43.335,13.33,13.33,0,30.005
"HSD:Plasma",0,0,0,30.0008,9.9975,9.9975,30.0008,20.0033
"NS:plasma_lyte_A",0,0,30.0008,30.0008,9.9975,9.9975,0,20.0033
"Plasma:RL",0,0,0,0,13.33,13.33,43.335,30.005
"Plasma:plasma_lyte_A",0,0,23.0005,23.0005,7.998,7.998,23.0005,15.0025
"plasma_lyte_A:RL",0,0,50,50,0,0,0,0
