"random MD","Albumin:HES","Albumin:NS","gelatin:RL","HES:NS","HES:RL","HH:HS","HSD:NS","HS:NS","NS:Plasma"
"Mixed estimates",,,,,,,,,
"Albumin:HES",47.8,26.1,0,26.1,0,0,0,0,0
"Albumin:NS",8.09,83.82,0,8.09,0,0,0,0,0
"HES:NS",15.81,15.81,0,68.38,0,0,0,0,0
"HES:RL",0,0,0,0,100,0,0,0,0
"HH:HS",0,0,0,0,0,100,0,0,0
"HS:NS",0,0,0,0,0,0,0,100,0
"HSD:NS",0,0,0,0,0,0,100,0,0
"NS:Plasma",0,0,0,0,0,0,0,0,100
"gelatin:RL",0,0,100,0,0,0,0,0,0
"Indirect estimates",,,,,,,,,
"Albumin:HH",4.045,27.94,0,4.045,0,31.985,0,31.985,0
"Albumin:HS",5.3933,41.91,0,5.3933,0,0,0,47.3033,0
"Albumin:HSD",5.3933,41.91,0,5.3933,0,0,47.3033,0,0
"Albumin:Plasma",5.3933,41.91,0,5.3933,0,0,0,0,47.3033
"Albumin:RL",23.9,17.4,0,17.4,41.3,0,0,0,0
"Albumin:gelatin",15.9333,13.05,28.9833,13.05,28.9833,0,0,0,0
"HES:HH",7.905,7.905,0,22.7933,0,30.6983,0,30.6983,0
"HES:HS",10.54,10.54,0,34.19,0,0,0,44.73,0
"HES:HSD",10.54,10.54,0,34.19,0,0,44.73,0,0
"HES:Plasma",10.54,10.54,0,34.19,0,0,0,0,44.73
"HH:HSD",0,0,0,0,0,33.3333,33.3333,33.3333,0
"HH:NS",0,0,0,0,0,50,0,50,0
"HH:Plasma",0,0,0,0,0,33.3333,0,33.3333,33.3333
"HH:RL",6.324,6.324,0,17.095,23.419,23.419,0,23.419,0
"HS:HSD",0,0,0,0,0,0,50,50,0
"HS:Plasma",0,0,0,0,0,0,0,50,50
"HS:RL",7.905,7.905,0,22.7933,30.6983,0,0,30.6983,0
"HSD:Plasma",0,0,0,0,0,0,50,0,50
"HSD:RL",7.905,7.905,0,22.7933,30.6983,0,30.6983,0,0
"NS:RL",10.54,10.54,0,34.19,44.73,0,0,0,0
"Plasma:RL",7.905,7.905,0,22.7933,30.6983,0,0,0,30.6983
"gelatin:HES",0,0,50,0,50,0,0,0,0
"gelatin:HH",5.27,5.27,18.946,13.676,18.946,18.946,0,18.946,0
"gelatin:HS",6.324,6.324,23.419,17.095,23.419,0,0,23.419,0
"gelatin:HSD",6.324,6.324,23.419,17.095,23.419,0,23.419,0,0
"gelatin:NS",7.905,7.905,30.6983,22.7933,30.6983,0,0,0,0
"gelatin:Plasma",6.324,6.324,23.419,17.095,23.419,0,0,0,23.419
